resume_id,job_id,variant_id,proxy_type,proxy_value,base_score,variant_score,delta
R031,JOB013,R031_CF_AGE,age,31,0.481812,0.484003,0.0021909999999999985
R031,JOB013,R031_CF_EXPERIENCE,experience,60,0.481812,0.486964,0.00515199999999999
R032,JOB001,R032_CF_NAME,name,Neha Kapoor,0.490168,0.483987,-0.006180999999999992
R032,JOB001,R032_CF_COLLEGE,college,Indian Institute of Technology Guwahati,0.490168,0.487004,-0.003164
R032,JOB001,R032_CF_CITY,city,Mumbai,0.490168,0.48945,-0.0007179999999999964
R032,JOB001,R032_CF_DEGREE,degree,M.Sc,0.490168,0.493744,0.0035760000000000236
R032,JOB001,R032_CF_COURSE,course,Information Technology,0.490168,0.398696,-0.091472
R032,JOB001,R032_CF_AGE,age,40,0.490168,0.491478,0.0013100000000000334
R032,JOB001,R032_CF_EXPERIENCE,experience,108,0.490168,0.492834,0.0026660000000000017
R033,JOB023,R033_CF_NAME,name,Karan Mehta,0.486129,0.482778,-0.003350999999999993
R033,JOB023,R033_CF_COLLEGE,college,Indian Institute of Technology Madras,0.486129,0.486011,-0.00011799999999995148
R033,JOB023,R033_CF_CITY,city,Pune,0.486129,0.484962,-0.0011669999999999736
R033,JOB023,R033_CF_DEGREE,degree,B.A. LL.B.,0.486129,0.413337,-0.07279199999999997
R033,JOB023,R033_CF_COURSE,course,Management,0.486129,0.485697,-0.00043199999999998795
R033,JOB023,R033_CF_AGE,age,38,0.486129,0.485386,-0.0007429999999999937
R033,JOB023,R033_CF_EXPERIENCE,experience,84,0.486129,0.485797,-0.00033199999999999896
R034,JOB016,R034_CF_NAME,name,Vikram Reddy,0.479912,0.480983,0.0010709999999999886
R034,JOB016,R034_CF_COLLEGE,college,Indian Institute of Science Bangalore,0.479912,0.478241,-0.001670999999999978
R034,JOB016,R034_CF_CITY,city,Hyderabad,0.479912,0.480845,0.0009330000000000171
R034,JOB016,R034_CF_DEGREE,degree,LLM,0.479912,0.479912,0.0
R034,JOB016,R034_CF_COURSE,course,Civil Engineering,0.479912,0.409324,-0.07058799999999998
R034,JOB016,R034_CF_AGE,age,35,0.479912,0.479912,0.0
R034,JOB016,R034_CF_EXPERIENCE,experience,108,0.479912,0.479912,0.0
R035,JOB020,R035_CF_NAME,name,Divya Rao,0.502779,0.504499,0.0017200000000000548
R035,JOB020,R035_CF_COLLEGE,college,Indian Institute of Technology Kharagpur,0.502779,0.504667,0.0018880000000000008
R035,JOB020,R035_CF_CITY,city,Ahmedabad,0.502779,0.50231,-0.0004689999999999417
R035,JOB020,R035_CF_DEGREE,degree,Diploma,0.502779,0.414752,-0.08802699999999997
R035,JOB020,R035_CF_COURSE,course,Computer Science,0.502779,0.502779,0.0
R035,JOB020,R035_CF_AGE,age,43,0.502779,0.502779,0.0
R035,JOB020,R035_CF_EXPERIENCE,experience,137,0.502779,0.502794,1.4999999999987246e-05
R036,JOB012,R036_CF_NAME,name,Divya Rao,0.54974,0.548862,-0.0008780000000000454
R036,JOB012,R036_CF_COLLEGE,college,NIT Tiruchirappalli,0.54974,0.548713,-0.0010270000000000001
R036,JOB012,R036_CF_CITY,city,Kolkata,0.54974,0.5497,-4.0000000000040004e-05
R036,JOB012,R036_CF_DEGREE,degree,M.Com,0.54974,0.48974,-0.06
R036,JOB012,R036_CF_COURSE,course,Electronics and Telecommunication,0.54974,0.487837,-0.061902999999999986
R036,JOB012,R036_CF_AGE,age,27,0.54974,0.54974,0.0
R036,JOB012,R036_CF_EXPERIENCE,experience,27,0.54974,0.54974,0.0
R037,JOB009,R037_CF_NAME,name,Priya Nair,0.449614,0.447876,-0.0017380000000000173
R037,JOB009,R037_CF_COLLEGE,college,Indian Institute of Technology Bombay,0.449614,0.447976,-0.0016380000000000283
R037,JOB009,R037_CF_CITY,city,Bangalore,0.449614,0.450152,0.0005379999999999829
R037,JOB009,R037_CF_DEGREE,degree,B.Com,0.449614,0.377632,-0.07198199999999999
R037,JOB009,R037_CF_AGE,age,33,0.449614,0.449614,0.0
R037,JOB009,R037_CF_EXPERIENCE,experience,60,0.449614,0.449614,0.0
R038,JOB018,R038_CF_NAME,name,Ananya Iyer,0.405805,0.40714,0.001334999999999975
R038,JOB018,R038_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.405805,0.405771,-3.4000000000034e-05
R038,JOB018,R038_CF_CITY,city,Delhi,0.405805,0.406144,0.0003389999999999782
R038,JOB018,R038_CF_AGE,age,32,0.405805,0.405805,0.0
R038,JOB018,R038_CF_EXPERIENCE,experience,108,0.405805,0.405805,0.0
R039,JOB014,R039_CF_NAME,name,Arjun Sharma,0.484053,0.485104,0.0010509999999999686
R039,JOB014,R039_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.484053,0.477751,-0.00630200000000003
R039,JOB014,R039_CF_CITY,city,Chennai,0.484053,0.484647,0.0005939999999999834
R039,JOB014,R039_CF_DEGREE,degree,B.Sc,0.484053,0.415353,-0.06869999999999998
R039,JOB014,R039_CF_COURSE,course,Hotel Management,0.484053,0.483895,-0.00015799999999999148
R039,JOB014,R039_CF_AGE,age,36,0.484053,0.48373,-0.0003230000000000177
R039,JOB014,R039_CF_EXPERIENCE,experience,84,0.484053,0.484053,0.0
R040,JOB016,R040_CF_NAME,name,Arjun Sharma,0.570059,0.565625,-0.004433999999999938
R040,JOB016,R040_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.570059,0.568937,-0.0011219999999999564
R040,JOB016,R040_CF_CITY,city,Pune,0.570059,0.570487,0.00042799999999998395
R040,JOB016,R040_CF_DEGREE,degree,B.Sc,0.570059,0.501834,-0.06822499999999998
R040,JOB016,R040_CF_COURSE,course,Law,0.570059,0.500786,-0.06927300000000003
R040,JOB016,R040_CF_AGE,age,34,0.570059,0.570883,0.0008240000000000469
R040,JOB016,R040_CF_EXPERIENCE,experience,63,0.570059,0.572489,0.0024300000000000432
R041,JOB016,R041_CF_NAME,name,Aditya Verma,0.499956,0.500051,9.500000000001174e-05
R041,JOB016,R041_CF_COLLEGE,college,Indian Institute of Technology Delhi,0.499956,0.499972,1.6000000000016e-05
R041,JOB016,R041_CF_CITY,city,Pune,0.499956,0.500513,0.0005569999999999742
R041,JOB016,R041_CF_DEGREE,degree,LLB,0.499956,0.499956,0.0
R041,JOB016,R041_CF_COURSE,course,Business Administration,0.499956,0.440754,-0.05920200000000003
R041,JOB016,R041_CF_AGE,age,35,0.499956,0.499956,0.0
R041,JOB016,R041_CF_EXPERIENCE,experience,72,0.499956,0.499956,0.0
R042,JOB024,R042_CF_NAME,name,Karan Mehta,0.468841,0.467437,-0.0014040000000000163
R042,JOB024,R042_CF_COLLEGE,college,Indian Institute of Technology Guwahati,0.468841,0.468988,0.00014700000000000824
R042,JOB024,R042_CF_CITY,city,Ahmedabad,0.468841,0.467875,-0.0009660000000000224
R042,JOB024,R042_CF_DEGREE,degree,B.A,0.468841,0.398253,-0.07058799999999998
R042,JOB024,R042_CF_AGE,age,33,0.468841,0.468841,0.0
R042,JOB024,R042_CF_EXPERIENCE,experience,72,0.468841,0.468841,0.0
R043,JOB025,R043_CF_NAME,name,Vikram Reddy,0.628182,0.629775,0.0015929999999999556
R043,JOB025,R043_CF_COLLEGE,college,Indian Institute of Science Bangalore,0.628182,0.628704,0.0005220000000000224
R043,JOB025,R043_CF_CITY,city,Bangalore,0.628182,0.62778,-0.00040200000000001346
R043,JOB025,R043_CF_DEGREE,degree,Bachelor,0.628182,0.557594,-0.07058799999999998
R043,JOB025,R043_CF_COURSE,course,Operations Management,0.628182,0.557658,-0.07052400000000003
R043,JOB025,R043_CF_AGE,age,29,0.628182,0.629031,0.0008489999999999887
R043,JOB025,R043_CF_EXPERIENCE,experience,36,0.628182,0.629299,0.0011170000000000346
R044,JOB002,R044_CF_NAME,name,Divya Rao,0.341867,0.341375,-0.0004919999999999924
